Clusters;BIC;AIC;Type
2.0;353955923.0201964;353835397.73841906;GMM Full
4.0;243698035.1822544;243456972.91835207;GMM Full
6.0;229351748.7452845;228990149.49925715;GMM Full
8.0;287430071.57670367;286947935.3485513;GMM Full
10.0;212852831.87173504;212250158.66145763;GMM Full
12.0;210198631.26741096;209475421.0750085;GMM Full
14.0;207093848.67852673;206250101.50399926;GMM Full
16.0;203318619.5329632;202354335.3763107;GMM Full
18.0;202066327.96981218;200981506.83103466;GMM Full
20.0;199860851.75312492;198655493.63222238;GMM Full
22.0;199307395.0733948;197981499.97036725;GMM Full
24.0;198593945.29985097;197147513.21469837;GMM Full
26.0;198342343.8960124;196775374.8287348;GMM Full
28.0;194982539.72259033;193295033.6731877;GMM Full
