Clusters;BIC;Type
1.0;238694549.1166025;KMean 100 dimensions
2.0;216015389.38551724;KMean 100 dimensions
3.0;211377137.95353016;KMean 100 dimensions
4.0;208046659.5750912;KMean 100 dimensions
5.0;205527353.4943179;KMean 100 dimensions
6.0;204080338.05519468;KMean 100 dimensions
7.0;202184631.956166;KMean 100 dimensions
8.0;201427181.4677432;KMean 100 dimensions
9.0;200676636.6228062;KMean 100 dimensions
10.0;200020193.07863784;KMean 100 dimensions
11.0;199259436.59204483;KMean 100 dimensions
12.0;198719543.7626722;KMean 100 dimensions
13.0;198306689.89620253;KMean 100 dimensions
14.0;197615065.62159404;KMean 100 dimensions
15.0;197193187.12117243;KMean 100 dimensions
16.0;196871281.28093657;KMean 100 dimensions
17.0;196648395.12829453;KMean 100 dimensions
