scoreValid,scoreTest,loss,params,iteration,train_time
0.7619681324224685,0.7907256415272171,0.23803186757753148,"{'boosting_type': 'dart', 'colsample_bytree': 0.6234133796433076, 'learning_rate': 0.00020070534924976767, 'max_depth': 8, 'min_child_samples': 305, 'n_estimators': 1710, 'num_leaves': 110, 'objective': 'binary', 'reg_alpha': 0.9360113571621839, 'reg_lambda': 0.12916072588433292, 'scale_pos_weight': 79.75, 'subsample': 0.5572057314030783}",1,82.50833018682695
0.763218760873779,0.7782796578521509,0.23678123912622095,"{'boosting_type': 'goss', 'colsample_bytree': 0.8404793864379236, 'learning_rate': 0.0017408219938591606, 'max_depth': 10, 'min_child_samples': 335, 'n_estimators': 1873, 'num_leaves': 13, 'objective': 'binary', 'reg_alpha': 0.8466910097551715, 'reg_lambda': 0.8455208397657017, 'scale_pos_weight': 79.75, 'subsample': 1.0}",2,34.30440523477972
0.7466754111634148,0.7887072537477993,0.25332458883658515,"{'boosting_type': 'goss', 'colsample_bytree': 0.7077279190421989, 'learning_rate': 0.0001293401762464266, 'max_depth': 15, 'min_child_samples': 130, 'n_estimators': 1746, 'num_leaves': 67, 'objective': 'binary', 'reg_alpha': 0.8914059772003393, 'reg_lambda': 0.23587620656116004, 'scale_pos_weight': 79.75, 'subsample': 1.0}",3,89.17392502756337
0.7574844680784519,0.7856707805025518,0.24251553192154807,"{'boosting_type': 'dart', 'colsample_bytree': 0.7595614572362153, 'learning_rate': 0.002438455113624812, 'max_depth': 12, 'min_child_samples': 495, 'n_estimators': 2301, 'num_leaves': 140, 'objective': 'binary', 'reg_alpha': 0.5907273794385136, 'reg_lambda': 0.5499232401024817, 'scale_pos_weight': 119.625, 'subsample': 0.9970904657374347}",4,59.03429415051875
0.7397189535479761,0.7725912720288798,0.2602810464520239,"{'boosting_type': 'dart', 'colsample_bytree': 0.7131119303819343, 'learning_rate': 1.8662310928317464e-05, 'max_depth': 23, 'min_child_samples': 25, 'n_estimators': 2264, 'num_leaves': 91, 'objective': 'binary', 'reg_alpha': 0.5837612618856107, 'reg_lambda': 0.3845065003380307, 'scale_pos_weight': 119.625, 'subsample': 0.9189038682666375}",5,109.01584140097566
0.7495874817091478,0.7858219372966051,0.2504125182908522,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9154426331602064, 'learning_rate': 0.005033118896981798, 'max_depth': 24, 'min_child_samples': 235, 'n_estimators': 1353, 'num_leaves': 79, 'objective': 'binary', 'reg_alpha': 0.4974711852279563, 'reg_lambda': 0.18889540082815026, 'scale_pos_weight': 79.75, 'subsample': 0.6865816910688008}",6,69.71136253794685
0.7614272607769788,0.775283196699447,0.23857273922302125,"{'boosting_type': 'goss', 'colsample_bytree': 0.8056032244006246, 'learning_rate': 0.0003680306171696608, 'max_depth': 30, 'min_child_samples': 50, 'n_estimators': 1787, 'num_leaves': 36, 'objective': 'binary', 'reg_alpha': 0.9592160395431575, 'reg_lambda': 0.4108016238440273, 'scale_pos_weight': 119.625, 'subsample': 1.0}",7,52.27211717086277
0.7681620455794944,0.7769614816922448,0.2318379544205056,"{'boosting_type': 'goss', 'colsample_bytree': 0.9269932583502137, 'learning_rate': 0.006102622154370739, 'max_depth': 12, 'min_child_samples': 455, 'n_estimators': 1768, 'num_leaves': 107, 'objective': 'binary', 'reg_alpha': 0.3300276746307218, 'reg_lambda': 0.24852892085586964, 'scale_pos_weight': 39.875, 'subsample': 1.0}",8,53.82291386627605
0.7601795287670161,0.7861464798250137,0.2398204712329839,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7839527013685026, 'learning_rate': 3.130115103832056e-05, 'max_depth': 24, 'min_child_samples': 335, 'n_estimators': 1002, 'num_leaves': 93, 'objective': 'binary', 'reg_alpha': 0.08893292841383071, 'reg_lambda': 0.5180583438788793, 'scale_pos_weight': 119.625, 'subsample': 0.6828099677292615}",9,131.43793402908875
0.7519910889506491,0.7811316308928921,0.24800891104935086,"{'boosting_type': 'goss', 'colsample_bytree': 0.6518254766113526, 'learning_rate': 0.004514424056350123, 'max_depth': 17, 'min_child_samples': 270, 'n_estimators': 2473, 'num_leaves': 30, 'objective': 'binary', 'reg_alpha': 0.726362096180456, 'reg_lambda': 0.5963953577021277, 'scale_pos_weight': 159.5, 'subsample': 1.0}",10,36.33494887556458
